lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
1.14308,1,8.83221,-6.77602,-8.18502,7.094
-0.0787609,2,8.83221,19.3468,-0.917834,9.25816
-0.0787609,0,8.83221,19.3468,-0.917834,9.25816
0.555131,2,8.83221,-9.59147,-9.54282,4.9081
1.18944,2,8.83221,-6.44677,8.9184,10.8868
0.566363,1,8.83221,-10.5083,9.3564,15.3137
0.566363,2,8.83221,-10.5083,9.3564,15.3137
1.50984,1,8.83221,-2.2158,6.72135,8.01855
1.50984,1,8.83221,-2.2158,6.72135,8.01855
1.50984,1,8.83221,-2.2158,6.72135,8.01855
1.2528,2,8.83221,-0.16551,-6.40201,4.82788
1.12322,2,8.83221,-0.370311,3.3328,3.45228
-1.67787,1,8.83221,-25.016,3.43431,15.8181
0.790557,2,8.83221,2.45145,-3.68998,20.6937
0.176047,2,8.83221,-1.33476,-2.26241,1.24394
1.1714,2,8.83221,5.35159,-2.84374,17.2932
1.75102,2,8.83221,-2.84363,1.48093,10.1294
0.380917,2,8.83221,2.0451,6.23188,1.84605
-1.88765,1,8.83221,-10.9951,-15.4174,0.91343
-1.90032,2,8.83221,0.456678,-13.8095,0.388676
-2.26362,2,8.83221,8.73214,-8.31305,0.215111
0.375983,2,8.83221,-3.86113,13.6274,4.36881
-0.826035,2,8.83221,3.14601,-21.7599,14.9047
0.729434,2,8.83221,-4.54191,-13.8426,8.9288
1.12315,2,8.83221,-1.04054,-1.67714,3.31171
0.510809,1,8.83221,8.79662,-9.23771,4.08746
1.07212,2,8.83221,10.7049,-4.61318,12.3394
0.667311,2,8.83221,-8.21323,12.3862,8.29694
1.15324,1,8.83221,-8.85932,7.06396,9.1517
1.32876,2,8.83221,8.33332,4.97334,9.46306
1.17962,1,8.83221,8.71702,3.13098,14.6851
1.1692,2,8.83221,8.92869,3.17062,6.05979
1.1692,1,8.83221,8.92869,3.17062,6.05979
1.3895,2,8.83221,-2.06799,-7.26896,13.76
1.07787,1,8.83221,-2.94418,-11.6322,10.703
0.0742572,2,8.83221,18.0132,-2.53462,7.41774
-0.0847084,2,8.83221,-15.2839,-11.8957,8.93525
-0.0847084,1,8.83221,-15.2839,-11.8957,8.93525
-0.0847084,1,8.83221,-15.2839,-11.8957,8.93525
-0.302196,2,8.83221,17.281,10.7891,8.33207
0.711023,2,8.83221,-8.92298,-9.53537,15.2273
1.00284,1,8.83221,-8.23209,-9.10618,7.93141
0.340768,2,8.83221,7.33025,1.82887,1.90464
0.86651,2,8.83221,-9.37532,-5.3668,4.77881
0.86651,2,8.83221,-9.37532,-5.3668,4.77881
1.48334,2,8.83221,-5.78018,-4.99792,11.6953
1.66404,2,8.83221,2.08705,-1.48718,6.94529
1.72187,2,8.83221,-3.34419,-1.28035,11.3147
1.20155,2,8.83221,0.369914,2.64535,3.6886
1.20155,2,8.83221,0.369914,2.64535,3.6886
0.946822,2,8.83221,0.645606,-5.96938,3.25448
-1.77136,2,8.83221,4.65853,-14.7923,0.567124
-1.64483,2,8.83221,14.0241,-15.8914,1.85607
0.647335,2,8.83221,12.8023,-4.47341,5.60754
-0.145819,2,8.83221,0.495407,-15.8915,3.22203
-0.85258,2,8.83221,-7.78925,7.82369,0.786569
0.763138,2,8.83221,8.99061,1.69021,3.46066
-0.0232436,1,8.83221,11.1814,5.06466,2.12262
-0.524511,2,8.83221,-19.8904,3.76835,15.6632
1.10664,2,8.83221,5.91722,-8.59751,6.39774
-1.69422,2,8.83221,-0.0936774,25.847,14.1843
-0.119552,2,8.83221,4.22503,17.4895,5.09948
-0.119552,1,8.83221,4.22503,17.4895,5.09948
-0.0079442,2,8.83221,-4.21447,-16.6764,4.91412
1.00407,2,8.83221,12.179,-0.374596,12.4566
